date,open,high,low,close,漲跌,漲跌,振幅,張數,筆數,均張,volume,外資,投信,自營,合計
2023/2/2,538,542,537,540,10,1.89,0.94,"46,524","45,495",1.02,251,"20,869",22.4,-711,"20,181"
2023/2/1,532,533,522,530,8,1.53,2.11,"42,540","31,487",1.35,225,"9,255",-36,439,"9,658"
2023/1/31,537,538,521,522,-21,-3.87,3.13,"79,212","74,279",1.07,417,"-13,043",242,"2,515","-10,286"
2023/1/30,542,543,534,543,40,7.95,1.79,"148,413","153,125",0.97,801,"80,641",938,880,"82,459"
2023/1/17,504,504,499.5,503,-2,-0.4,0.89,"29,444","27,930",1.05,148,"10,960","-4,542",697,"7,114"
2023/1/16,506,508,503,505,5,1,1,"38,782","48,051",0.81,196,"18,939",-392,172,"18,718"
2023/1/13,507,509,499,500,13.5,2.77,2.06,"81,849","93,121",0.88,411,"49,026","1,198",517,"50,741"
2023/1/12,487.5,488,484,486.5,2,0.41,0.83,"22,417","25,780",0.87,109,"5,299",446,556,"6,301"
2023/1/11,487,488,482,484.5,-1.5,-0.31,1.23,"21,749","25,457",0.85,105,-114,101,"1,135","1,122"
2023/1/10,486,487,483,486,5,1.04,0.83,"34,785","36,975",0.94,169,"13,398",514,-616,"13,296"
2023/1/9,468,481,467.5,481,22.5,4.91,2.94,"49,186","57,305",0.86,234,"29,063",522,991,"30,575"
2023/1/6,455,459.5,455,458.5,0,0,0.98,"21,314","16,635",1.28,97.4,"4,193",334,"1,782","6,309"
2023/1/5,459,459.5,455,458.5,9,2,1,"23,972","20,752",1.16,110,"6,726",-17,-635,"6,074"
2023/1/4,449.5,455,448.5,449.5,-3.5,-0.77,1.43,"20,627","18,233",1.13,93.1,"-2,961",263,994,"-1,704"
2023/1/3,446,453.5,443,453,4.5,1,2.34,"15,311","22,581",0.68,68.7,"-1,035",229,-53.7,-859
