date,open,high,low,close,漲跌,漲跌.1,振幅,張數,筆數,均張,億元,外資,投信,自營,合計
,535.0,535.0,527.0,529.0,-3.0,-0.56,1.5,"28,073","32,067",0.88,149.0,"-8,403",494,-358,"-8,267"
,531.0,534.0,528.0,532.0,-1.0,-0.19,1.13,"23,299","24,536",0.95,124.0,"-9,207",488,378,"-8,341"
,534.0,536.0,532.0,533.0,2.0,0.38,0.75,"17,051","14,773",1.15,90.9,"-4,402","1,477",-72.8,"-2,998"
,530.0,535.0,530.0,531.0,-13.0,-2.39,0.92,"31,683","45,750",0.69,169.0,"-12,270",246,"-1,744","-13,768"
,544.0,551.0,544.0,544.0,0.0,0.0,1.29,"17,137","12,233",1.4,93.7,-371,651,-142,139
,543.0,546.0,540.0,544.0,0.0,0.0,1.1,"15,762","15,637",1.01,85.6,"-3,341",482,697,"-2,162"
,552.0,553.0,543.0,544.0,-12.0,-2.16,1.8,"24,173","23,393",1.03,132.0,"-7,844",980,-295,"-7,158"
,549.0,556.0,546.0,556.0,10.0,1.83,1.83,"49,144","41,402",1.19,271.0,"17,391","1,267","-3,286","15,372"
,540.0,548.0,540.0,546.0,6.0,1.11,1.48,"26,999","18,309",1.47,147.0,"-2,112","1,633","3,165","2,686"
,549.0,549.0,540.0,540.0,-11.0,-2.0,1.63,"28,848","27,159",1.06,157.0,"-5,542",860,56.5,"-4,625"
,550.0,552.0,548.0,551.0,6.0,1.1,0.73,"19,463","19,538",1.0,107.0,"4,250","1,299",238,"5,787"
,546.0,547.0,542.0,545.0,-8.0,-1.45,0.9,"21,867","21,225",1.03,119.0,"-7,099","1,164",763,"-5,173"
,550.0,554.0,548.0,553.0,3.0,0.55,1.09,"34,705","31,159",1.11,191.0,"6,950","1,392",224,"8,566"
,545.0,550.0,544.0,550.0,6.0,1.1,1.1,"36,350","35,333",1.03,199.0,"12,866",888,422,"14,176"
,542.0,544.0,540.0,544.0,12.0,2.26,0.75,"61,671","43,385",1.42,335.0,"18,943",289,"1,072","20,304"
,530.0,533.0,529.0,532.0,4.0,0.76,0.76,"16,160","14,047",1.15,85.9,461,909,"1,112","2,481"
,523.0,529.0,523.0,528.0,8.0,1.54,1.15,"25,749","19,027",1.35,136.0,"-1,232",151,"1,121",40.2
,521.0,523.0,519.0,520.0,-9.0,-1.7,0.76,"29,809","49,176",0.61,155.0,"-13,699",-16.8,-227,"-13,943"
,528.0,533.0,528.0,529.0,-4.0,-0.75,0.94,"17,601","17,430",1.01,93.4,"-2,604",-25.6,-75,"-2,705"
,530.0,534.0,528.0,533.0,10.0,1.91,1.15,"26,892","23,151",1.16,143.0,"2,184",321,467,"2,973"
,523.0,525.0,520.0,523.0,1.0,0.19,0.96,"28,350","20,589",1.38,148.0,"-2,946",37,778,"-2,131"
,517.0,523.0,516.0,522.0,3.0,0.58,1.35,"18,655","22,249",0.84,97.1,"-1,096",336,-664,"-1,425"
,521.0,524.0,519.0,519.0,-6.0,-1.14,0.95,"29,065","66,748",0.44,151.0,"-17,315",221,-115,"-17,209"
,522.0,529.0,522.0,525.0,3.0,0.57,1.34,"20,583","23,438",0.88,108.0,"-5,296",67.9,740,"-4,488"
,523.0,525.0,522.0,522.0,-5.0,-0.95,0.57,"33,499","68,488",0.49,175.0,"-15,752",-246,"1,078","-14,921"
,530.0,531.0,526.0,527.0,-8.0,-1.5,0.93,"35,985","96,356",0.37,190.0,"-22,164",395,-46.7,"-21,815"
,536.0,538.0,535.0,535.0,-3.0,-0.56,0.56,"28,099","50,355",0.56,151.0,"-15,231",50.7,108,"-15,072"
,539.0,543.0,538.0,538.0,-2.0,-0.37,0.93,"21,100","45,323",0.47,114.0,"-14,437",84.9,97.8,"-14,254"
,548.0,549.0,540.0,540.0,-18.0,-3.23,1.61,"40,148","58,958",0.68,218.0,"-23,317",-39.3,-64.5,"-23,421"
,549.0,558.0,547.0,558.0,8.0,1.45,2.0,"44,682","18,023",2.48,248.0,"10,574","-4,966",-827,"4,780"
,544.0,550.0,543.0,550.0,12.0,2.23,1.3,"18,377","19,037",0.97,101.0,"5,784",128,-106,"5,805"
,545.0,548.0,541.0,541.0,-3.0,-0.55,1.29,"16,836","18,111",0.93,91.5,"-2,390",589,442,"-1,360"
,536.0,545.0,536.0,544.0,8.0,1.49,1.68,"17,136","20,545",0.83,92.7,"-4,605",827,"1,036","-2,742"
,539.0,540.0,536.0,536.0,-3.0,-0.56,0.74,"15,541","31,155",0.5,83.5,"-7,777",89,-412,"-8,100"
,535.0,540.0,535.0,539.0,-3.0,-0.55,0.92,"16,702","36,672",0.46,89.8,"-9,431",349,-38.7,"-9,121"
,546.0,548.0,542.0,542.0,-8.0,-1.45,1.09,"22,610","41,564",0.54,123.0,"-8,986",-281,-943,"-10,210"
,556.0,556.0,550.0,550.0,-2.0,-0.36,1.09,"14,443","12,752",1.13,79.7,"-1,788",47.5,-810,"-2,550"
,553.0,555.0,550.0,552.0,-5.0,-0.9,0.9,"14,337","13,714",1.05,79.1,"-4,385",109,-24.8,"-4,301"
,549.0,557.0,549.0,557.0,9.0,1.64,1.46,"9,773","12,158",0.8,54.1,546,141,-123,565
,543.0,553.0,543.0,548.0,-1.0,-0.18,1.82,"15,195","12,739",1.19,83.3,"-2,221",-209,274,"-2,155"
,553.0,556.0,548.0,549.0,-6.0,-1.08,1.44,"47,265","19,831",2.38,260.0,"-5,641",58.5,429,"-5,154"
,558.0,560.0,554.0,555.0,3.0,0.54,1.09,"18,675","14,916",1.25,104.0,"1,469",39,756,"2,264"
,551.0,553.0,546.0,552.0,3.0,0.55,1.28,"10,969","11,040",0.99,60.4,"-3,886","-1,118",113,"-4,892"
,547.0,553.0,547.0,549.0,3.0,0.55,1.1,"9,385","11,096",0.85,51.7,-329,362,-171,-138
,549.0,551.0,546.0,546.0,-18.0,-3.19,0.89,"25,783","42,456",0.61,141.0,"-11,923",-215,-764,"-12,903"
,563.0,564.0,558.0,564.0,12.0,2.17,1.09,"24,410","28,550",0.85,137.0,"10,141",-244,116,"10,013"
,546.0,552.0,544.0,552.0,11.0,2.03,1.48,"21,702","21,521",1.01,119.0,"5,055",-251,92.1,"4,896"
,544.0,544.0,538.0,541.0,4.0,0.74,1.12,"14,854","13,606",1.09,80.4,"1,749",19,-59.5,"1,708"
,544.0,544.0,534.0,537.0,-2.0,-0.37,1.86,"18,314","33,922",0.54,98.4,"-4,894",-219,228,"-4,885"
,540.0,544.0,539.0,539.0,-5.0,-0.92,0.92,"19,583","21,346",0.92,106.0,"-3,886","-1,118",113,"-4,892"
,540.0,546.0,537.0,544.0,2.0,0.37,1.66,"24,070","18,167",1.32,130.0,"1,429",-82.8,487,"1,833"
